"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","493.9490633985881","155.12083840605976","4.635662846425661","-0.3132760394092362","0.008799999999999919","0.0102","0.007399999999999962","1216","0.0003452041661557806","0","0.0003452041661557806","0.0003452041661557806","","","true"
"1","272.577781591026","205.7272572249517","4.736296869971339","-0.3129180725120383","0.019399999999999973","0.020399999999999974","0.0184","1216","0.00044251311941855914","0","0.00044251311941855914","0.00044251311941855914","1_2:0.005575009238369372;1_0:0.015963647311897478","1_2:533.3333333333333;1_0:533.3333333333333","true"
"2","273.48778737220687","223.60489655343466","4.819178499281037","-0.3112951524093254","0.01540000000000008","0.014800000000000035","0.016","1216","0.00016977157926551732","0","0.00016977157926551732","0.00016977157926551732","","","true"
"3","323.96760098518774","292.0912195244242","4.747182082348841","-0.3111534699659636","0.014499999999999957","0.0148","0.01419999999999999","1216","0.0004799014506971573","0","0.0004799014506971573","0.0004799014506971573","3_2:0.009888962359557135","3_2:533.3333333333333","true"
"4","296.54661193117124","152.0417404809121","4.787874618691494","-0.31094540176555985","0.04390000000000005","0.03600000000000003","0.0518","1216","0.0002179124824542631","0","0.0002179124824542631","0.0002179124824542631","4_3:0.00906860173839441;4_15:0.005846933017418593","4_3:533.3333333333333;4_15:533.3333333333333","true"
"5","223.6475511928621","91.93083521029902","4.850837438806149","-0.31056606217183785","0.0716","0.049000000000000044","0.0942","1216","0.0002510730199869331","0","0.0002510730199869331","0.0002510730199869331","5_4:0.006468899025684621","5_4:533.3333333333333","true"
"6","300.1077786963635","45.63353513175387","4.8995542684000535","-0.3090557835234433","0.08089999999999997","0.04279999999999995","0.119","1216","0.00026820415860171365","0","0.00026820415860171365","0.00026820415860171365","6_5:0.006136400101281636","6_5:533.3333333333333","true"
"7","226.53845155178638","20.441244677468916","4.755796861500931","-0.31100390518358323","0.016000000000000014","0.010399999999999965","0.0216","1216","0.00025120578852412973","0","0.00025120578852412973","0.00025120578852412973","7_6:0.006543185118571826;7_8:0.015345093695315781","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","335.2045009099259","12.57114908232959","4.812595340291288","-0.31334511346081884","0.06580000000000008","0.07040000000000002","0.0612","1216","0.001722922270804214","0","0.001722922270804214","0.001722922270804214","8_9:0.010521120918111332","8_9:533.3333333333333","true"
"9","439.55356999908815","77.93796245854381","4.638198814237326","-0.29264088813258476","0.05600000000000005","0.04720000000000002","0.0648","1216","0.00019445909549920874","0","0.00019445909549920874","0.00019445909549920874","","","true"
